stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
5310AWB32203,,"Newport (Friars Walk Bus Stn)",,51.587794395,-2.994646782,,,,,,
5720AWA10023,,"Newton Street",,51.411692039,-3.259102891,,,,,,
5710WDB48418,,"Ninian Park",,51.473767554,-3.20048138,,,,,,
5710AWA11574,,"Ninian Park",,51.475560142,-3.201925169,,,,,,
5710WDB24009,,"Ninian Park PH",,51.477820798,-3.200688617,,,,,,
5710WDB25075,,"Ninian Park PH",,51.47765707,-3.200871514,,,,,,
5710AWA11586,,"Ninian Park School",,51.469334868,-3.195167619,,,,,,
5710AWA10552,,"Ninian Road",,51.501866592,-3.175704198,,,,,,
5710AWA10551,,"Ninian Road",,51.501710122,-3.175167098,,,,,,
5710AWA11339,,"Norbury Road",,51.488811894,-3.234177127,,,,,,
5710CAA02605,,"North Church Street",,51.474198636,-3.172098433,,,,,,
5710AWA11663,,"North Church Street",,51.473941247,-3.171760666,,,,,,
5710AWA11656,,"North Clive St",,51.468818298,-3.188488294,,,,,,
5710CBZ02526,,"North Clive Street",,51.468803091,-3.188214356,,,,,,
5710AWA10844,,"North Road Clinic",,51.501363227,-3.196135166,,,,,,
5720AWA11976,,Northcliffe,,51.443666962,-3.168899035,,,,,,
5720AWA11977,,Northcliffe,,51.443784115,-3.168873249,,,,,,
5710AWA10616,,"Northcote Lane",,51.490012145,-3.169724109,,,,,,
5720AWA10002,,Norwood,,51.414898554,-3.244293173,,,,,,
5720AWA10027,,Norwood,,51.415029443,-3.243822181,,,,,,
5710AWA10216,,"Nursery School",,51.505256567,-3.129035996,,,,,,
5710AWA11198,,"Oak Tree Close",,51.519386039,-3.266914093,,,,,,
5710AWA10051,,"Oakfield Street",,51.48979187,-3.157489812,,,,,,
5710AWA11759,,"Ocean Way Business Park",,51.474496291,-3.153877206,,,,,,
5710AWA11060,,"Odet Court",,51.523135472,-3.236604152,,,,,,
5710AWA10097,,"Okehampton Avenue",,51.528874536,-3.118145231,,,,,,
5720AWA10732,,"Old Port Road",,51.44530529,-3.263193142,,,,,,
5720AWA10731,,"Old Port Road",,51.445299091,-3.262933956,,,,,,
5710WDB47295,,"O'Leary Drive",,51.45433091,-3.18239812,,,,,,
5710WDB47293,,"Olympian Drive",,51.450155952,-3.182664408,,,,,,
